男|甘肃|1985|同济大学（四平路）|本科在读|本科在读|材料科学与工程|本科大四学生|小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|性格温和，有热情，做事认真稳重||小学数学,初一初二数学,初一初二物理,初三数学,初三物理,|||
女|浙江|1983|华东师范大学（普陀）|硕士在读|硕士在读|历史教学论|在读硕士生|小学英语,小学语文,小学数学,初一初二英语,初三英语,高一高二英语,高三英语,历史,政治|为人诚实,做事负责.对待学生有耐心,有家教经验.已经通过大学英语四\六级&nbsp;,曾获得全国大学生英语竞赛三等奖.||小学英语,小学语文,小学数学,初一初二英语,初三英语,高一高二英语,高三英语,历史,政治|||
男|上海|1985|上海师范大学（其他）|本科在读|本科在读|应用心理|本科大三学生|小学数学,小学语文,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,上海话,精准普通话,幼儿陪读|钢琴，舞蹈||小学数学,小学语文,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,上海话,精准普通话,幼儿陪读|||
女|上海|1985|上海大学（延长路）|本科在读|本科在读|电气工程及其自动化|本科大四学生|小学语文,小学数学,小学英语,|||小学语文,小学数学,小学英语,|||
男|江西|1985-3|华东师范大学（普陀）|本科在读|本科在读|物理学|本科大四学生|高一高二数学,高一高二物理,高三数学,高三物理,高一高二化学,高等数学,大学物理|||高一高二数学,高一高二物理,高三数学,高三物理,高一高二化学,高等数学,大学物理|||
女|安徽|1983|复旦大学（枫林路）|硕士在读|硕士在读|临床医学|在读硕士生|初一初二数学,初一初二化学,初一初二物理,初三数学,初三化学,中考心里辅导,高一高二化学,高一高二物理,初三英语,初一初二英语,|中学化学皆为自学，备有丰富的自学经验和扎实的数理化功底，曾参加过数学、化学奥林匹克竞赛，普通话标准。||初一初二数学,初一初二化学,初一初二物理,初三数学,初三化学,中考心里辅导,高一高二化学,高一高二物理,初三英语,初一初二英语,|||
男|上海|1983|上海对外贸易学院（松江）|本科在读|本科在读|国际经济与贸易|本科大四学生|小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,高三数学,高三英语,上海话,初级新概念英语,初级英语口语,初级牛津英语,|数学较好，高考一百四。英语也不错，高考一百二，责任心强，较耐心。||小学数学,小学英语,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三数学,初三物理,高三数学,高三英语,上海话,初级新概念英语,初级英语口语,初级牛津英语,|||
男|江苏|1981-1|上海交通大学（徐家汇）|硕士在读|硕士在读|物理|在读硕士生|初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,|有丰富的毕业班经验||初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,|||
女|新疆|1984|华东理工大学（梅陇）|本科在读|本科在读|信息管理与信息系统|本科大四学生|高三物理,高三数学,高三化学,高一高二数学,高一高二物理,高一高二化学,初中奥数,初三物理,初三数学,初三化学,初一初二数学,初一初二物理,初一初二化学,|初中及高中理科非常优秀，尤其是在高中，曾在多次竞赛中获奖，其中包括，高二获全国中学生物理竞赛省级赛区二等奖，高三获物理竞赛省级一等奖，化学竞赛省级二等奖，数学竞赛省级三等奖。||高三物理,高三数学,高三化学,高一高二数学,高一高二物理,高一高二化学,初中奥数,初三物理,初三数学,初三化学,初一初二数学,初一初二物理,初一初二化学,|||
男|安徽|1985|上海中医药大学（张江）|本科在读|本科在读|中医|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二物理,初一初二化学,初三英语,初三物理,高一高二英语,高一高二物理,高三英语,初级新概念英语,|已过大学四六级考试和英语专业四级考试，带过多分家教有经验。||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二物理,初一初二化学,初三英语,初三物理,高一高二英语,高一高二物理,高三英语,初级新概念英语,|||
男|河北|1982|上海交通大学（闵行）|硕士在读|硕士在读|机械动力|在读硕士生|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三物理,初三化学,中考心里辅导,高一高二英语,高一高二数学,高一高二物理,高一高二化学,高三英语,高等数学,精准普通话,初级英语口语,|我来自河北。我的特长在英语方面。曾就读走遍美国，并以优异成绩毕业。在校连年被评为三好学生。本科阶段获省级优秀毕业生称号。||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三英语,初三物理,初三化学,中考心里辅导,高一高二英语,高一高二数学,高一高二物理,高一高二化学,高三英语,高等数学,精准普通话,初级英语口语,|||
女|河北|1981|上海理工大学杨浦区|硕士在读|硕士在读|企业管理|在读硕士生|高一高二数学,高一高二英语,初三数学,初三英语,初一初二数学,初一初二英语,小学数学,小学英语,初三语文,初一初二语文,高等数学,精准普通话,初级英语口语,初级新概念英语,英语四级,|本科所学专业为计算数学,已通过英语四、六级，可担任数学、英语的教学；大学期间长期担任学生干部，曾多次获得奖学金及各种荣誉。||高一高二数学,高一高二英语,初三数学,初三英语,初一初二数学,初一初二英语,小学数学,小学英语,初三语文,初一初二语文,高等数学,精准普通话,初级英语口语,初级新概念英语,英语四级,|||
男|湖北|1985|同济大学（嘉定）|本科在读|本科在读|通信工程|本科大四学生|初一初二数学,初一初二物理,初一初二化学,初一初二英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,|||初一初二数学,初一初二物理,初一初二化学,初一初二英语,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,|||
女|江西|1985|华东理工大学（梅陇）|本科在读|本科在读|视觉传达|本科大四学生|小学语文,小学数学,小学英语,初一初二英语,美术,|||小学语文,小学数学,小学英语,初一初二英语,美术,|||
女|上海|1985|上海师范大学（奉贤）|大专在读|大专在读|旅游管理|大专在读学生|初一初二英语,初一初二数学,小学英语,小学数学,|由于我的专业是旅游管理,因此个人的英语能力十分注重,曾经有做初二英语家教和初二数学家教的经历,由于具有亲和力因此学生都比较愿意听我的话.取得英语四级证书,在校取得校辩论赛团体第三.个人对于家教有一定的经验,也受到过不少家庭的良好反映.我喜欢听听音乐,看看书,还有当然就是和我的专业有关,旅游啦.望有机会成为您的家教.谢谢!||初一初二英语,初一初二数学,小学英语,小学数学,|||
女|上海|1986|上海交通大学（闵行）|本科在读|本科在读|电影电视系广播影视编导专业|本科大三学生|初三英语,高一高二英语,初一初二英语,小学英语,上海话,小学数学,初一初二物理,初三物理,高一高二物理,高三英语,|开朗善言,谈吐大方.具有相当的教学人格魅力.尤其擅长英语与物理。||初三英语,高一高二英语,初一初二英语,小学英语,上海话,小学数学,初一初二物理,初三物理,高一高二物理,高三英语,|||
男|上海|1984|上海海事大学（洋泾）|本科在读|本科在读|行政管理|本科大四学生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,|对学习工作认真负责，有能力和信心做好家教，有亲和力，容易与孩子打成一片，帮助他们学习进步。||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初三化学,|||
女|安徽|1978|上海理工大学|硕士在读|硕士在读|教育经济与管理|在读硕士生|高一高二英语,初一初二英语,初一初二数学,小学数学,小学英语,|教龄四年，曾获地区教坛新星称号。||高一高二英语,初一初二英语,初一初二数学,小学数学,小学英语,|||
女|上海|1983|上海海洋大学|本科毕业|本科毕业|计算机科学与技术|自由业余翻译|小学数学,小学英语,小学语文,初一初二英语,初一初二数学,初一初二物理,初三英语,上海话,初级新概念英语,精准英语语音,计算机基本操作,|英语六级，雅斯6.5，目前从事英语翻译事业，2006.3将赴国外工作学习计算机本科毕业，基本操作过硬||小学数学,小学英语,小学语文,初一初二英语,初一初二数学,初一初二物理,初三英语,上海话,初级新概念英语,精准英语语音,计算机基本操作,|||
男|上海|1985|华东师范大学|本科在读|本科在读|信息管理与信息系统|本科大四学生|小学英语,小学语文,小学数学,初一初二语文,初一初二英语,初一初二数学,高考心里辅导,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,计算机基本操作,乒乓球,羽毛球,|本人热心有耐心，待人真诚有强烈责任感，学习成绩良好且英语突出，工作细致严谨，稳重并善与他人交流。||小学英语,小学语文,小学数学,初一初二语文,初一初二英语,初一初二数学,高考心里辅导,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,计算机基本操作,乒乓球,羽毛球,|||
男|上海|1983|上海对外贸易学院（松江）|本科在读|本科在读|金融学国际银行业务|本科大四学生|小学英语,小学数学,小学语文,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,上海话,初级英语口语,初级新概念英语,英语四级,商务英语,初级日语,|性格开朗随和，有耐心，喜欢小孩。从小喜爱语言，尤其是英语，已通过英语六级考试，现正攻读高级口译。并学习过一年的日语。||小学英语,小学数学,小学语文,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,高三英语,上海话,初级英语口语,初级新概念英语,英语四级,商务英语,初级日语,|||
女|上海|1985|华东理工大学（梅陇）|本科在读|本科在读|英语|本科大三学生|小学英语,初一初二英语,初一初二数学,初一初二化学,初三英语,高一高二英语,初三数学,初三化学,高一高二化学,|为人和蔼、耐心，有过做家教的经验。本人成绩优秀，尤其是英语，高考时分数多达130，有能力传授知识。||小学英语,初一初二英语,初一初二数学,初一初二化学,初三英语,高一高二英语,初三数学,初三化学,高一高二化学,|||
女|上海|1986|上海外国语大学（虹口）|本科在读|本科在读|德语|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二物理,初三英语,中考心里辅导,高一高二英语,高考心里辅导,上海话,精准普通话,初级英语口语,初级法语,初级德语,|小学两年级开始学习法语初中英语课代表高中数学课代表校三好||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二物理,初三英语,中考心里辅导,高一高二英语,高考心里辅导,上海话,精准普通话,初级英语口语,初级法语,初级德语,|||
女|湖北|1982|华东理工大学（梅陇）|本科在读|本科在读|金融学|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,精准普通话,成人高考辅导|有爱心,耐心,语文数学英语尤其不错.工作认真负责||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,精准普通话,成人高考辅导|||
女|山东|1979|华东师范大学（普陀）|硕士在读|硕士在读|生物学|在读硕士生|小学英语,小学数学,初一初二英语,初一初二数学,初一初二化学,初三英语,初三数学,初三化学,高一高二数学,高一高二化学,精准普通话,|||小学英语,小学数学,初一初二英语,初一初二数学,初一初二化学,初三英语,初三数学,初三化学,高一高二数学,高一高二化学,精准普通话,|||
女|黑龙江|1983|华东师范大学（闵行）|本科在读|本科在读|统计|本科大四学生|精准普通话,高等数学,高三化学,高三物理,高三数学,小提琴,高一高二化学,高一高二物理,高一高二数学,初三数学,初三物理,初三化学,初一初二数学,初一初二物理,初一初二化学,计算机基本操作|小提琴业余九级，擅长理科，有丰富教学经验||精准普通话,高等数学,高三化学,高三物理,高三数学,小提琴,高一高二化学,高一高二物理,高一高二数学,初三数学,初三物理,初三化学,初一初二数学,初一初二物理,初一初二化学,计算机基本操作|||
男|上海|1946|上海师范大学|本科毕业|本科毕业|教师|进修初中教师|初一初二数学,初三数学,初三化学,|具有35年丰富的教育教学经验，熟悉上海新课标的教材与要求，擅长初中数学和化学教学；注重学生的基础知识和运用的能力以及综合素质的提高。||初一初二数学,初三数学,初三化学,|数学|35|中学一级教师
女|浙江|1984|华东师范大学（闵行）|本科在读|本科在读|中文|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,精准普通话,|||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,精准普通话,|||
女|山东|1974|上海音乐学院|本科毕业|本科毕业|音乐教育|离职初中教师|钢琴,精准普通话,,|||钢琴,精准普通话,,|音乐|9|中学二级教师
男|四川|1976|华东理工大学|硕士毕业|硕士毕业|化学工程、计算机软件、国际贸易|国企职工|小学数学,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三物理,初三化学,初中奥数,初三数学,高一高二数学,高一高二物理,高一高二化学,高三物理,计算机基本操作,计算机应用能力初级,计算机应用能力中级,|优良的家庭背景：本人曾获初中全国数学联赛二等奖，初中、高中各种省、市物理竞赛奖项。现本人已经双学位毕业，国企工作，空闲时间较多；妹妹目前刚保送同济研究生；舅舅现在安徽一重点高中任教班主任，其班级高考入学率几乎100％。此外，本人还有多年家教经验。尤其擅长物理，可以补习高三物理。所教的学生基本都是初三及高三学生，被教学生及家长都表示非常满意。||小学数学,小学奥数,初一初二数学,初一初二物理,初一初二化学,初三物理,初三化学,初中奥数,初三数学,高一高二数学,高一高二物理,高一高二化学,高三物理,计算机基本操作,计算机应用能力初级,计算机应用能力中级,|||
女|上海|1984|上海师范大学（徐汇）|本科在读|本科在读|数理信息学院统计学|本科大四学生|小学数学,初一初二数学,初一初二化学,初三数学,初三化学,高一高二数学,|拿过奖学金大学英语四级已过计算机一级已过有家教辅导经验||小学数学,初一初二数学,初一初二化学,初三数学,初三化学,高一高二数学,|||
女|安徽|1968|安徽黄山师范学院|硕士在读|硕士在读|中学语文课程与教学论|进修高中教师|小学英语,小学语文,初一初二语文,初一初二英语,初三语文,初三英语,中考心里辅导,高一高二语文,高一高二英语,高三语文,精准普通话,对外汉语|从教多年，有一定教学经验。多次获得“优秀教师”称号。乐于学习教学理论，教学基本功扎实，能因材施教。有爱心和耐心。相信会对您的孩子有所帮助！||小学英语,小学语文,初一初二语文,初一初二英语,初三语文,初三英语,中考心里辅导,高一高二语文,高一高二英语,高三语文,精准普通话,对外汉语|化学|14|中学一级教师
女|上海|1984|上海师范大学（奉贤）|本科在读|本科在读|机械设计自动化，英语二专|本科大四学生|小学语文,小学数学,小学英语,小学奥数,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,初三化学,初一初二化学,高三英语,英语四级,英语六级,美术,计算机基本操作,|获得英语四级和六级证书 计算机应用初级证书 有素描7级证书 大学期间获3等奖学金证书||小学语文,小学数学,小学英语,小学奥数,初一初二英语,初一初二数学,初三英语,初三数学,高一高二英语,初三化学,初一初二化学,高三英语,英语四级,英语六级,美术,计算机基本操作,|||
女|江苏|1980|烟台教育学院|本科在读|本科在读|音乐教育|专职教师|声乐（民族）,钢琴,乐理，试唱练耳|本人刚从上音本科毕业，主修音乐表演。现在刘诗昆音乐艺术幼儿园担任幼儿钢琴主教。具亲和力，热爱幼教事业。从2001年起，已专兼职培养出了二十余名小孩及5名成人。在幼儿钢琴教法和幼教心理方面颇有心得。所带学员多数已成功定级。　||声乐（民族）,钢琴,乐理，试唱练耳|钢琴|2|尚无职称等级
女|上海|1983|上海师范大学（徐汇）|硕士在读|硕士在读|教育管理|在读硕士生|小学语文,小学英语,初一初二英语,初三英语,高一高二英语,初级英语口语,初级新概念英语,初级牛津英语,|||小学语文,小学英语,初一初二英语,初三英语,高一高二英语,初级英语口语,初级新概念英语,初级牛津英语,|||
女|广东|1986|上海财经大学（杨浦）|本科在读|本科在读|经贸日语|本科大三学生|小学英语,初一初二英语,初三英语,初级日语,高级日语,钢琴,粤语|||小学英语,初一初二英语,初三英语,初级日语,高级日语,钢琴,粤语|||
男|江西|1985|同济大学（真南路）|本科在读|本科在读|会计学|本科大三学生|初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,|仔细，具有耐心特别注重教学方法和因人施教懂得教师是教学生学，而不是仅仅教他几个题目！||初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,高三数学,|||
女|浙江|1985|上海师范大学（其他）|本科在读|本科在读|法政|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三英语,初三数学,|||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三英语,初三数学,|||
女|上海|1982|上海师范大学（徐汇）|本科在读|本科在读|英语|本科大四学生|小学英语,初一初二英语,初三英语,高一高二英语,初级新概念英语,初级牛津英语,|大学英语六级，专业英语四级，有较强的英语口语交际能力和翻译能力，普通话二级甲等,通过教师资格课程，掌握教育学，教育方法论，心理学。有一定的教学经验。||小学英语,初一初二英语,初三英语,高一高二英语,初级新概念英语,初级牛津英语,|||
男|山东|1978|中国科学技术大学|硕士毕业|硕士毕业|电路与系统|软件工程师|初三数学,初三物理,初中奥数,高一高二数学,高三数学,高一高二物理,高三物理,高等数学,计算机基本操作,Linux或Unix,程序设计初级,程序设计高级,图像处理软件,|||初三数学,初三物理,初中奥数,高一高二数学,高三数学,高一高二物理,高三物理,高等数学,计算机基本操作,Linux或Unix,程序设计初级,程序设计高级,图像处理软件,|||
女|河北|1982|华东师范大学（普陀）西北师范大学|硕士在读|硕士在读|基础数学|在读硕士生|初一初二物理,初一初二数学,初三数学,初三物理,高一高二数学,|||初一初二物理,初一初二数学,初三数学,初三物理,高一高二数学,|||
女|浙江|1985|中国美术学院（张江）|本科在读|本科在读|服装与染织|本科大四学生|小学英语,小学语文,小学数学,美术,卡通画,滑冰旱冰,羽毛球,,,|画画||小学英语,小学语文,小学数学,美术,卡通画,滑冰旱冰,羽毛球,,,|||
女|山东|1982|同济大学（四平路）|本科在读|本科在读|中文|本科大三学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高三语文,,|竭尽全力，努力做到最好||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高三语文,,|||
女|上海|1985|上海交通大学（上中路）|本科在读|本科在读|工商管理|本科大三学生|初级日语,高一高二英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,英语六级,|非日语专业学生，已达到日语二级以上水平，有长期与日籍友人交流的经验，并多次代表高中--上海大同中学接待日本交流学生，有较一般日语专业学生优秀的听说水平。英语六级以上水平，并已参加雅思高分班的培训。在同代出生在上海的年轻人中上海话水平较好，并有较好的语言运用水平，希望可以教授来自日本及英语国家的友人。||初级日语,高一高二英语,上海话,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,英语四级,英语六级,|||
男|新疆|1982|同济大学（四平路）|硕士在读|硕士在读|材料科学与工程|在读硕士生|初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,中考心里辅导,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,高考心里辅导,精准普通话,|理工科,经验丰富||初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,中考心里辅导,高一高二数学,高一高二物理,高一高二化学,高三数学,高三物理,高三化学,高考心里辅导,精准普通话,|||
女|河南|1985|东华大学（长宁）|本科在读|本科在读|视觉传达设计|本科大四学生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初三语文,中考心里辅导,高考心里辅导,精准普通话,摄影,美术,卡通画,西洋画,网页设计与制作,图像处理软件,动画制作,|善于沟通||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初三语文,中考心里辅导,高考心里辅导,精准普通话,摄影,美术,卡通画,西洋画,网页设计与制作,图像处理软件,动画制作,|||
女|河北|1981|华东理工大学（梅陇）|硕士在读|硕士在读|化学工艺|在读硕士生|初一初二化学,初一初二物理,初一初二数学,初三化学,高一高二化学,高三化学,|我是华东理工大学的在读研究生，平时课余时间很充沛，我长期从事化学家教，这与我所学的专业很吻合，去年我同时带了两份高三，一份高一的化学家教这些学生的考试成绩都有了不小的进步，由于那两个高考过了，我现在再想找高中的化学家教，这样我能更好的发挥。当然其他科目也可胜任。我本人为人朴实，工作很积极认真，不怕吃苦，责任心强，学习成绩优秀，年年都拿奖学金。||初一初二化学,初一初二物理,初一初二数学,初三化学,高一高二化学,高三化学,|||
男|河南|1969|上海交通大学（徐家汇）|博士在读|博士在读|企业管理|在读博士生|高一高二物理,高一高二化学,高一高二英语,|本人在高中阶段获得数理化竞赛奖，使全校唯一一个三门都获奖的学生，并考入全国重点大学--天津大学。||高一高二物理,高一高二化学,高一高二英语,|||
女|上海|1979|上海交通大学（闵行）|硕士在读|硕士在读|生物|在读硕士生|初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初中奥数,高一高二英语,高一高二物理,高一高二化学,高三英语,高三物理,高三化学,|英语好||初一初二语文,初一初二英语,初一初二数学,初一初二物理,初一初二化学,初三语文,初三英语,初三数学,初三物理,初中奥数,高一高二英语,高一高二物理,高一高二化学,高三英语,高三物理,高三化学,|||
女|江西|1982|江西师范大学|本科毕业|本科毕业|英语教育|公司职员|小学英语,初一初二英语,初三英语,高一高二英语,|英语专业四级||小学英语,初一初二英语,初三英语,高一高二英语,|||
男|上海|1985|上海师范大学（徐汇）|本科在读|本科在读|英语师范|本科大四学生|初三英语,初一初二英语,高一高二英语,|||初三英语,初一初二英语,高一高二英语,|||
男|上海|1985|上海海事大学（洋泾）|本科在读|本科在读|英语|本科大三学生|钢琴,|||钢琴,|||
男|上海|1983|华东师范大学（普陀）|本科在读|本科在读|音乐系钢琴专业|本科大四学生|钢琴,上海话,小学英语,初一初二英语,初三英语,高一高二英语,高三英语,英语四级,乐理，视唱练耳|钢琴十级，英语六级，曾录制钢琴重奏CD，曾在艺海剧院演出。||钢琴,上海话,小学英语,初一初二英语,初三英语,高一高二英语,高三英语,英语四级,乐理，视唱练耳|||
女|江西|1987|上海对外贸易学院（松江）|本科在读|本科在读|商务法语|本科大三学生|小学数学,初一初二数学,|人家说浓缩的都是精华，一点也没错哦！||小学数学,初一初二数学,|||
女|陕西|1982|西安工程科技学院|本科毕业|本科毕业|装饰艺术设计|设计师|小学语文,小学数学,精准普通话,美术,卡通画,西洋画,素描,速写,色彩,陪读|本科毕业.绘画功底深厚.曾在暑期美术班任教多次.活泼开朗,亲和力强.||小学语文,小学数学,精准普通话,美术,卡通画,西洋画,素描,速写,色彩,陪读|||
女|上海|1986|复旦大学（邯郸路）|本科在读|本科在读|法學|本科大二学生|小学数学,初一初二英语,初一初二数学,初一初二化学,初三化学,初三英语,初三数学,高一高二英语,高一高二化学,高一高二数学,高三英语,上海话,英语四级,初级新概念英语,小学英语,|善於交流，溝通，高三評為上海市上海中學優秀學生，高三為英語課代表||小学数学,初一初二英语,初一初二数学,初一初二化学,初三化学,初三英语,初三数学,高一高二英语,高一高二化学,高一高二数学,高三英语,上海话,英语四级,初级新概念英语,小学英语,|||
女|陕西|1982－5|上海交通大学（徐家汇）|硕士在读|硕士在读|光电子工程、生物医学工程|在读硕士生|初一初二数学,初一初二英语,初一初二化学,初三数学,初三化学,初中奥数,中考心里辅导,高一高二数学,高三数学,高考心里辅导,高等数学,精准普通话,卡拉OK/歌咏,计算机基本操作,计算机应用能力初级,|自信、乐观、活泼、积极 获得高中数学、化学竞赛 大学期间成绩优异，多次获得奖学金 获得全国大学生数学建模竞赛||初一初二数学,初一初二英语,初一初二化学,初三数学,初三化学,初中奥数,中考心里辅导,高一高二数学,高三数学,高考心里辅导,高等数学,精准普通话,卡拉OK/歌咏,计算机基本操作,计算机应用能力初级,|||
女|上海|1984|上海交通大学（上中路）|本科在读|本科在读|国际经济与贸易（商务英语方向）|本科大三学生|小学语文,小学数学,初一初二英语,初三英语,初一初二语文,初三语文,高一高二语文,高一高二英语,高三语文,高三英语,上海话,精准普通话,初级英语口语,初级德语,|高考英语130，先就读英语专业。在校任校刊主编。||小学语文,小学数学,初一初二英语,初三英语,初一初二语文,初三语文,高一高二语文,高一高二英语,高三语文,高三英语,上海话,精准普通话,初级英语口语,初级德语,|||
男|上海|1984|同济大学（四平路）|本科在读|本科在读|机械设计|本科大三学生|小学数学,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,|||小学数学,初一初二数学,初一初二物理,初一初二化学,初三数学,初三物理,初三化学,高一高二数学,高一高二物理,高一高二化学,|||
男|浙江|1978|复旦大学（邯郸路）|硕士在读|硕士在读|法律|在读硕士生|小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级新概念英语,初级牛津英语,乒乓球,|||小学英语,初一初二英语,初三英语,高一高二英语,高三英语,初级新概念英语,初级牛津英语,乒乓球,|||
男|上海|1984|同济大学（嘉定）|本科在读|本科在读|车辆工程|本科大四学生|高三英语,|高考英语128分.英语六级,2年高三家教经验.||高三英语,|||
男|湖北|1982|东华大学（长宁）|本科在读|本科在读|服装设计与工程|本科大四学生|初一初二数学,初三数学,高三数学,高一高二数学,高一高二化学,初三化学,初一初二化学,初一初二物理,高一高二物理,高三物理,|获国家奖学金,党员。爱好书法，喜欢打羽毛球，下棋。||初一初二数学,初三数学,高三数学,高一高二数学,高一高二化学,初三化学,初一初二化学,初一初二物理,高一高二物理,高三物理,|||
女|江西|1986|上海海事大学（洋泾）|本科在读|本科在读|海商法|本科大三学生|小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高一高二数学,高三数学,|||小学语文,小学数学,小学英语,小学奥数,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高一高二数学,高三数学,|||
男|江苏|1974|上海师范大学（其他）|硕士在读|硕士在读|发展与教育心理学|在读硕士生|小学语文,小学数学,小学英语,初一初二英语,初三英语,中考心里辅导,高一高二英语,高三英语,高考心里辅导,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,初一初二数学,精准英语语音,|本人为江苏省普通话测试员,中级职称,教育学本科和英语教育本科,有八年工作经验,现在上海师大研究生就读||小学语文,小学数学,小学英语,初一初二英语,初三英语,中考心里辅导,高一高二英语,高三英语,高考心里辅导,精准普通话,初级英语口语,初级新概念英语,初级牛津英语,初一初二数学,精准英语语音,|||
女|上海|1986|同济大学（四平路）|本科在读|本科在读|环境工程|本科大四学生|钢琴,初级法语,|对音乐的感悟力强，有钢琴十级证书。学习法语已有一年。有英语中级口译证书。||钢琴,初级法语,|||
女|重庆|1980|华东师范大学（其它）|硕士在读|硕士在读|历史学|在读硕士生|小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高一高二英语,高考心里辅导,精准普通话,摄影,计算机基本操作,|本人品学兼优，为人踏实诚恳，教学耐心细致，富有经验，善于与各种年龄阶层的学员交流，在授课中能灵活运用心理知识。曾发表摄影作品，并与友人合著摄影书籍。||小学语文,小学数学,小学英语,初一初二语文,初一初二英语,初一初二数学,初三语文,初三英语,初三数学,中考心里辅导,高一高二语文,高一高二英语,高考心里辅导,精准普通话,摄影,计算机基本操作,|||
女|上海|1986|上海中医药大学（张江）|本科在读|本科在读|药学|本科大三学生|小学数学,小学英语,上海话,钢琴,计算机基本操作,中文|过钢琴九及可教初学者包括乐理计算机基本可以，学过中级有良好的与人交涉的能力||小学数学,小学英语,上海话,钢琴,计算机基本操作,中文|||
女|江西|1987|上海金融学院浦东上川路|本科在读|本科在读|金融学|本科大三学生|小学语文,小学英语,初一初二语文,初一初二英语,初三英语,高一高二英语,滑冰旱冰,精准普通话,|高考英语134分，中级口译笔试已经通过，口试在考，连续两年奖学金（三等一次，一等一次），非常喜欢英语，语文方面也曾得过作文比赛一等，演讲一二等，父母均是老师（语文和数学）||小学语文,小学英语,初一初二语文,初一初二英语,初三英语,高一高二英语,滑冰旱冰,精准普通话,|||
